reynolds,source,model,alpha_deg,experimental_cl,model_cl,cl_error,experimental_cd,model_cd,cd_error,stalled_estimate
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,0.0439634503493685,0.0,0.08857789539590304,0.08857789539590304,0.0233113836279567,0.021039825075194637,-0.0022715585527620617,False
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,1.12834049946251,0.106588676331732,0.09386042356511325,-0.01272825276661875,0.044920544123319,0.021039825075194637,-0.023880719048124364,False
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,1.9836923061677,0.180732935941635,0.0980036338099351,-0.0827293021316999,0.0338834619367137,0.021039825075194637,-0.012843636861519066,False
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,3.10012613685837,0.257357774765373,0.10337849109740806,-0.15397928366796498,0.0385831030146644,0.021039825075194637,-0.017543277939469765,False
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,4.04390939169578,0.323989116885938,0.10789162236727681,-0.2160974945186612,0.0395702317494168,0.021039825075194637,-0.01853040667422216,False
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,5.1610099457807,0.392950633069204,0.11319562214495058,-0.2797550109242535,0.0425142527093741,0.021039825075194637,-0.02147442763417946,False
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,6.11610947876915,0.463353790664692,0.11769639606124595,-0.3456573946034461,0.0440101394524986,0.021039825075194637,-0.02297031437730396,False
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,7.0711909922064,0.53209249318871,0.12216438167738675,-0.40992811151132325,0.0523700618183297,0.021039825075194637,-0.031330236743135065,False
50000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,8.07643468160441,0.600400316427678,0.12683034301673246,-0.47356997341094553,0.0543187406400004,0.021039825075194637,-0.033278915564805764,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,0.312361412120398,0.0,0.08988842049369251,0.08988842049369251,0.0297431350222423,0.017925299027388465,-0.011817835994853833,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,1.11888448965332,0.0891816976821334,0.09381450130406768,0.004632803621934287,0.0297426089463441,0.017925299027388465,-0.011817309918955635,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,1.82392996398818,0.158075097807895,0.09723139739383731,-0.06084370041405769,0.0322104825467337,0.017925299027388465,-0.014285183519345233,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,2.93023680690675,0.243996827065088,0.10256307291043422,-0.14143375415465376,0.0386262810930584,0.017925299027388465,-0.020700982065669934,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,4.03625533700618,0.326117361083336,0.10785513709605568,-0.21826222398728032,0.0396089868855346,0.017925299027388465,-0.021683687858146138,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,5.04169724146735,0.39982834029783,0.11263114181663299,-0.287197198481197,0.0494561024622398,0.017925299027388465,-0.03153080343485133,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,6.24926545296963,0.502520210486795,0.11832130590149549,-0.3841989045852995,0.0563276976455539,0.017925299027388465,-0.03840239861816543,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,7.05431092730449,0.5709998289131,0.12208570573709555,-0.44891412317600443,0.0592672953824748,0.017925299027388465,-0.041341996355086334,False
100000,Airfoil 360 v2022 experimental wind-tunnel data,NACA Airfoil Kit preliminary panel/empirical,8.05813107215802,0.622460570685498,0.1267457291899189,-0.4957148414955791,0.0651384114875803,0.017925299027388465,-0.04721311246019184,False
