airfoil,pareto_rank,pareto_front,reynolds,best_ld,best_ld_alpha_deg,cl_objective,cl_max,cd_min
UIUC NACA6412,1,True,100000.0,32.740699979551366,12.0,0.5047166282188799,0.5873386333302402,0.017939098238494298
UIUC NACA6412,1,True,250000.0,39.892727213825495,12.0,0.5047166282188799,0.5873386333302402,0.014722950130285605
UIUC NACA6412,1,True,500000.0,45.88809053732008,12.0,0.5047166282188799,0.5873386333302402,0.01279936965022693
UIUC NACA6412,1,True,1000000.0,52.4053438602222,12.0,0.5047166282188799,0.5873386333302402,0.011207609569299176
UIUC NACA6412,1,True,2000000.0,59.460306068198705,12.0,0.5047166282188799,0.5873386333302402,0.009877827279539819
UIUC NACA4424,2,False,100000.0,13.806977806493835,12.0,0.2897350438828626,0.33195048075298794,0.024042225996543695
UIUC NACA4424,2,False,250000.0,16.8230367593182,12.0,0.2897350438828626,0.33195048075298794,0.019731900102347582
UIUC NACA4424,2,False,500000.0,19.351322605407532,12.0,0.2897350438828626,0.33195048075298794,0.01715389110717568
UIUC NACA4424,2,False,1000000.0,22.099693044793625,12.0,0.2897350438828626,0.33195048075298794,0.015020592371132086
UIUC NACA4424,2,False,2000000.0,25.0748190100913,12.0,0.2897350438828626,0.33195048075298794,0.013238399871177347
UIUC NACA2424,3,False,100000.0,13.601084828029393,12.0,0.2814777946497249,0.32684578970065686,0.02403086179031002
UIUC NACA2424,3,False,250000.0,16.5721675833307,12.0,0.2814777946497249,0.32684578970065686,0.01972257328784307
UIUC NACA2424,3,False,500000.0,19.062751021944877,12.0,0.2814777946497249,0.32684578970065686,0.017145782858119206
UIUC NACA2424,3,False,1000000.0,21.770137099393146,12.0,0.2814777946497249,0.32684578970065686,0.015013492483231437
UIUC NACA2424,3,False,2000000.0,24.70089726973648,12.0,0.2814777946497249,0.32684578970065686,0.013232142384605116
UIUC NACA0024,4,False,100000.0,11.149757125705863,12.0,0.22839104642182484,0.2680043906477152,0.0240367917996912
UIUC NACA0024,4,False,250000.0,13.58536072209797,12.0,0.22839104642182484,0.2680043906477152,0.019727440156357336
UIUC NACA0024,4,False,500000.0,15.62706554145368,12.0,0.22839104642182484,0.2680043906477152,0.01715001386132182
UIUC NACA0024,4,False,1000000.0,17.846498593356742,12.0,0.22839104642182484,0.2680043906477152,0.015017197308803102
