airfoil,max_thickness_pct,max_camber_pct,best_ld_re_100000,cl_objective_re_100000,best_ld_re_250000,cl_objective_re_250000,best_ld_re_500000,cl_objective_re_500000,best_ld_re_1e+06,cl_objective_re_1e+06,best_ld_re_2e+06,cl_objective_re_2e+06,mean_best_ld,worst_case_best_ld,best_case_best_ld,best_ld_std,mean_cl_objective,worst_case_cl_objective,mean_cd_min,mean_best_ld_alpha_deg,cl_objective_name,pareto_rank,pareto_front
UIUC NACA6412,12.042656165321805,5.998615737147942,32.740699979551366,0.5047166282188799,39.892727213825495,0.5047166282188799,45.88809053732008,0.5047166282188799,52.4053438602222,0.5047166282188799,59.460306068198705,0.5047166282188799,46.077433531823566,32.740699979551366,59.460306068198705,9.330580167415892,0.5047166282188799,0.5047166282188799,0.013309370973569165,12.0,Cl at α = 4.00°,1,True
UIUC NACA4424,24.0199544475616,4.0,13.806977806493835,0.2897350438828626,16.8230367593182,0.2897350438828626,19.351322605407532,0.2897350438828626,22.099693044793625,0.2897350438828626,25.0748190100913,0.2897350438828626,19.4311698452209,13.806977806493835,25.0748190100913,3.9347696711946756,0.2897350438828626,0.2897350438828626,0.017837401889675277,12.0,Cl at α = 4.00°,2,False
UIUC NACA2424,23.99859064321638,1.9999999999999991,13.601084828029393,0.2814777946497249,16.5721675833307,0.2814777946497249,19.062751021944877,0.2814777946497249,21.770137099393146,0.2814777946497249,24.70089726973648,0.2814777946497249,19.14140756048692,13.601084828029393,24.70089726973648,3.8760934381675742,0.2814777946497249,0.2814777946497249,0.01782897056082177,12.0,Cl at α = 4.00°,3,False
UIUC NACA0024,24.008,0.0,11.149757125705863,0.22839104642182484,13.58536072209797,0.22839104642182484,15.62706554145368,0.22839104642182484,17.846498593356742,0.22839104642182484,20.249046956681298,0.22839104642182484,15.69154578785911,11.149757125705863,20.249046956681298,3.177503925499173,0.22839104642182484,0.22839104642182484,0.01783337015179795,12.0,Cl at α = 4.00°,4,False
UIUC NACA4421,21.029999999999998,4.0,11.123736105573624,0.21393626969944976,13.553655552122708,0.21393626969944976,15.59059549260172,0.21393626969944976,17.80484888799078,0.21393626969944976,20.201790244936102,0.21393626969944976,15.654925256644987,11.123736105573624,20.201790244936102,3.170088347501958,0.21393626969944973,0.21393626969944976,0.01633051369755069,12.0,Cl at α = 4.00°,5,False
UIUC NACA2421,21.0,1.9999999999999998,10.840843776311429,0.20606943154484908,13.20896693736527,0.20606943154484908,15.194104616548229,0.20606943154484908,17.352046418902958,0.20606943154484908,19.688030169776397,0.20606943154484908,15.256798383780858,10.840843776311429,19.688030169776397,3.089468520846558,0.20606943154484908,0.20606943154484908,0.016317047311673875,12.0,Cl at α = 4.00°,6,False
UIUC NACA0021,21.008,0.0,10.54130484966215,0.19822888507266564,12.843995366867238,0.19822888507266564,14.774282517627968,0.19822888507266564,16.872599111411628,0.19822888507266564,19.144038249352285,0.19822888507266564,14.835244018984252,10.54130484966215,19.144038249352285,3.0041046779809992,0.19822888507266564,0.19822888507266564,0.01632063537738241,12.0,Cl at α = 4.00°,7,False
UIUC NACA4415,14.993822818791946,4.009355992567358,10.193565023663142,0.16321585251861706,12.420293673603936,0.16321585251861706,14.286903914579142,0.16321585251861706,16.316000591320314,0.16321585251861706,18.512508792165445,0.16321585251861706,14.345854399066397,10.193565023663142,18.512508792165445,2.9050043433542663,0.16321585251861706,0.16321585251861706,0.014124461198840596,12.0,Cl at α = 4.00°,8,False
UIUC NACA4418,18.02,4.0,10.161367582040082,0.1810684476822627,12.381062876569848,0.1810684476822627,14.24177723380592,0.1810684476822627,16.264464796400546,0.1810684476822627,18.45403509628491,0.1810684476822627,14.30054151702026,10.161367582040082,18.45403509628491,2.895828583201389,0.1810684476822627,0.1810684476822627,0.015116937501478103,12.0,Cl at α = 4.00°,8,False
UIUC NACA2418,18.0,1.9999999999999998,9.8714004518984,0.17419093646826192,12.027754009290206,0.17419093646826192,13.835370592252783,0.17419093646826192,15.80033827580913,0.17419093646826192,17.92742649235433,0.17419093646826192,13.892457964320972,9.8714004518984,17.92742649235433,2.813192550514481,0.17419093646826192,0.17419093646826192,0.015109712767460265,12.0,Cl at α = 4.00°,9,False
UIUC NACA0018,18.006,0.0,9.541272009398831,0.16687681863341228,11.625510810140959,0.16687681863341228,13.372675418727898,0.16687681863341228,15.271928847848374,0.16687681863341228,17.327881026157762,0.16687681863341228,13.427853622454762,9.541272009398831,17.327881026157762,2.719111180836674,0.16687681863341228,0.16687681863341228,0.01511187914630624,12.0,Cl at α = 4.00°,10,False
